Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_WCK_ON,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iTxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iRxDQVrefTrain
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5X_ch1_X16_1to2/FreqRanges_MultiRank/run_4/local_log.log,3,5632,5,16,0,0,1420,2,1,18,16,5,5,5,1,1,0,1,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,60,182,6,0,0,4,2,0,0,0,16,0,0,817,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5X_ch1_X16_1to2/FreqRanges_MultiRank/run_4/local_log.log,3,5984,5,16,0,0,1336,2,1,20,10,5,5,5,0,1,1,1,0,3,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,200,209,4,6,2,4,2,0,0,0,16,0,0,653,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5X_ch1_X16_1to4/FreqRanges_MultiRank/run_17/local_log.log,3,6312,5,16,0,0,1266,4,1,17,16,11,11,11,1,0,0,0,0,11,7,2,4,2,7,12,5,0,0,0,1,1,1,0,1,0,0,0,0,37,165,6,6,2,4,2,0,0,0,16,0,0,845,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5X_ch1_X16_1to4/FreqRanges_MultiRank/run_17/local_log.log,3,6248,5,16,0,0,1280,4,1,18,16,11,11,11,1,0,1,0,0,11,8,2,4,2,7,13,5,0,0,0,1,1,1,0,1,0,0,0,0,63,231,0,0,2,4,2,0,0,0,16,0,0,170,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5_ch1_X16_1to2/FreqRanges_MultiRank/run_22/local_log.log,3,6144,5,16,0,0,1302,2,1,18,16,5,5,5,1,1,0,1,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,119,218,6,6,0,2,2,0,0,0,16,0,0,427,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5_ch1_X16_1to2/FreqRanges_MultiRank/run_22/local_log.log,3,5680,5,16,0,0,1408,2,1,18,16,5,5,5,1,0,0,0,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,15,167,4,4,2,2,2,0,0,0,16,0,0,177,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5_ch1_X16_1to4/FreqRanges_MultiRank/run_27/local_log.log,3,6384,5,16,0,0,1252,4,1,18,9,11,11,11,0,1,1,0,0,4,8,2,4,2,7,13,5,0,0,0,1,1,1,0,1,0,0,0,0,62,196,0,4,0,2,2,0,0,0,16,0,0,766,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/datapath_tests/LP5_ch1_X16_1to4/FreqRanges_MultiRank/run_27/local_log.log,3,6144,5,16,0,0,1302,4,1,17,9,11,11,11,0,0,0,1,0,4,7,2,4,2,7,12,5,0,0,0,1,1,1,0,1,0,0,0,0,233,237,0,6,1,2,2,0,0,0,16,0,0,311,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to2_x16_1fsp/system1/run_5/local_log.log,3,4640,5,16,0,0,1722,2,1,16,14,4,4,4,1,1,0,0,0,7,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,91,121,0,4,1,4,2,0,0,0,16,0,0,296,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to2_x16_1fsp/system1/run_5/local_log.log,3,3784,5,16,0,0,2110,2,1,14,8,3,3,3,0,1,1,1,0,2,4,1,3,4,8,11,5,0,0,2,1,1,1,0,0,1,0,0,0,214,229,4,4,1,4,2,0,0,0,16,0,0,883,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5_1to2_x16_1fsp/system1/run_36/local_log.log,3,5392,5,16,0,0,1482,2,1,16,14,4,4,4,1,0,0,1,0,7,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,141,167,6,6,1,2,2,0,0,0,16,0,0,774,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5_1to2_x16_1fsp/system1/run_36/local_log.log,3,2920,5,16,0,0,2734,2,1,10,6,2,2,2,0,0,0,1,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,60,142,6,0,0,2,2,0,0,0,16,0,0,344,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5_1to4_x16_1fsp/system1/run_44/local_log.log,3,1856,5,16,0,0,4292,4,1,6,5,3,3,3,1,1,0,1,0,2,1,1,2,2,4,4,5,0,0,2,1,1,1,0,0,0,0,0,0,242,137,0,0,2,2,2,0,0,0,16,0,0,556,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5_1to4_x16_1fsp/system1/run_44/local_log.log,3,688,5,16,0,0,11496,4,1,4,2,1,1,1,0,1,1,1,0,0,0,0,1,2,4,4,5,0,0,2,1,1,1,0,0,0,0,0,0,222,179,6,0,1,2,2,0,0,0,16,0,0,127,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to4_x16_2fsp/system1/run_28/local_log.log,3,2088,5,16,0,0,3818,4,1,6,4,3,3,3,0,1,0,0,0,1,1,1,2,2,4,4,5,0,0,2,1,1,1,0,0,0,0,0,0,182,82,0,6,1,4,2,0,0,0,16,0,0,176,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to4_x16_2fsp/system1/run_28/local_log.log,3,6448,5,16,0,0,1240,4,1,20,19,12,12,12,1,1,0,1,0,13,7,3,5,2,9,13,5,0,0,0,1,1,1,0,1,0,0,0,0,231,106,0,0,0,4,2,0,0,0,16,0,0,510,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to2_x16_2fsp/system2/run_18/local_log.log,3,5856,5,16,0,0,1366,2,1,20,16,5,5,5,1,0,1,1,0,9,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,113,28,4,6,0,2,2,0,0,0,16,0,0,976,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to2_x16_2fsp/system2/run_18/local_log.log,3,4024,5,16,0,0,1986,2,1,12,8,3,3,3,0,1,0,1,0,2,2,1,3,4,8,9,5,0,0,2,1,1,1,0,0,1,0,0,0,147,223,4,4,0,2,2,0,0,0,16,0,0,669,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_x16_2fsp/system2/run_32/local_log.log,3,3896,5,16,0,0,2050,2,1,12,8,3,3,3,0,1,0,0,0,2,2,1,3,4,8,9,5,0,0,2,1,1,1,0,0,1,0,0,0,55,98,4,6,0,1,2,0,0,0,16,0,0,498,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_x16_2fsp/system2/run_32/local_log.log,3,3632,5,16,0,0,2198,2,1,14,10,3,3,3,1,0,1,0,0,4,4,1,3,4,8,11,5,0,0,2,1,1,1,0,0,1,0,0,0,13,254,4,6,1,1,2,0,0,0,16,0,0,326,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to4_x16_1fsp/system1/run_23/local_log.log,3,3416,5,16,0,0,2338,4,1,10,6,6,6,6,0,1,0,1,0,2,3,1,3,2,5,7,5,0,0,0,1,1,1,0,1,0,0,0,0,11,173,6,4,0,4,2,0,0,0,16,0,0,667,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5X_1to4_x16_1fsp/system1/run_23/local_log.log,3,4864,5,16,0,0,1644,4,1,15,14,9,9,9,1,0,0,0,0,9,6,2,4,2,6,10,5,0,0,0,1,1,1,0,1,0,0,0,0,19,72,6,4,1,4,2,0,0,0,16,0,0,968,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5_1to2_x16_2fsp/system2/run_40/local_log.log,3,5480,5,16,0,0,1458,2,1,16,8,4,4,4,0,0,1,0,0,1,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,196,134,6,4,0,4,2,0,0,0,16,0,0,239,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/system_tests/LP5_1to2_x16_2fsp/system2/run_40/local_log.log,3,3376,5,16,0,0,2366,2,1,12,8,3,3,3,0,1,0,0,0,2,2,1,3,4,8,9,5,0,0,2,1,1,1,0,0,1,0,0,0,99,191,6,0,1,4,2,0,0,0,16,0,0,645,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/phystate_tests/phystate/cfg_ch_1_phystate_cdn_vip/run_3/local_log.log,3,6400,5,16,0,0,1250,4,1,18,9,11,11,11,0,0,1,1,0,4,8,2,4,2,7,13,5,0,0,0,1,1,1,0,1,0,0,0,0,11,37,4,0,0,4,2,0,0,0,16,0,0,864,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG3_REDUCED_REGR__20220926_080836__andrei__CONFIG@r8761_VERIF@r8824_PHYTOP@r7186_SOFTIP@r7646_HARDIP@r7419_CSRINIT@r7284_FW@r7148/chain_0/phystate_tests/phystate/cfg_ch_1_phystate_cdn_vip/run_3/local_log.log,3,6400,5,16,0,0,1250,2,1,20,16,5,5,5,1,1,1,1,0,9,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,191,2,6,6,1,4,2,0,0,0,16,0,0,433,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,
